#id,rmsid,name,type,ra,dec,flux8,flux12,flux14,flux21,jmag,hmag,kmag,vlsr,rgc,kds,d,blank,firlum,firflux,blank2,GAL_LONG,GAL_LAT
43,2434,G012.8909+00.4938B,HII region,11:50.7,-17:31:14.5,2.208,2.629,3.36,12.93,17,16.9,14.1,33.8,5,n,3.7,-999,1.60E+04,IRAS,,12.89099824,0.493757881
44,2434,G012.8909+00.4938C,YSO,11:51.4,-17:31:30.1,2.208,2.629,3.36,12.93,17,16.9,14.1,33.8,5,n,3.7,-999,1.60E+04,IRAS,,12.88865097,0.489026367
45,2490,G012.9090-00.2607,YSO,14:39.6,-17:52:02.3,15.651,23.209,49.59,143.99,15.3,13.2,9.2,35.8,4.9,-999,3.8,-999,5.40E+04,MIPS/IGA,,12.90808347,-0.260730306
46,2479,G013.0105-00.1267,Young/old star?,14:22.2,-17:42:48.8,2.399,3.175,5.81,7.13,18,17.3,12.1,46.2,4.3,-999,4.6,-999,2.10E+04,MIPS/IGA,,13.01018337,-0.126659864
47,2489,G013.1840-00.1069A,YSO,14:39.0,-17:33:07.5,1.435,1.421,1.44,7.23,18.2,17.2,12.3,53.2,4.1,-999,4.6,-999,2.10E+03,MIPS/IGA,,13.18392532,-0.108144405
48,2489,G013.1840-00.1069B,HII region,14:38.6,-17:33:05.8,1.435,1.421,1.44,7.23,15.9,15.3,14.2,53.2,4.1,-999,4.6,-999,2.80E+03,MIPS/IGA,,13.18356218,-0.106487868
49,2493,G013.2097-00.1436,Diffuse HII region,14:49.9,-17:32:46.6,2.593,1.869,2.44,18.21,15.9,14.7,14.2,53.1,4.1,-999,4.6,-999,3.40E+04,MIPS/IGA,,13.20981923,-0.143627573
50,2491,G013.3310-00.0407,YSO,14:41.8,-17:23:27.7,0.817,1.474,2.08,4.4,15.7,12.2,9.8,54.1,4.1,-999,4.6,-999,3.50E+03,MIPS/IGA,,13.33077599,-0.041066618
51,2483,G013.6313+00.1937,HII region,14:26.1,-17:00:53.2,1.575,2.307,2.03,4.93,15.9,13.9,13,-999,-999,-999,-999.0,-999,-999,IRAS,,13.63141793,0.193653913
52,2536,G013.6562-00.5997,YSO,17:24.4,-17:22:14.8,1.87,4.137,6.27,17.95,16.2,14.2,11.5,48,4.4,nz,4.4,-999,1.10E+04,MIPS/IGA,,13.65635607,-0.599954141
53,2537,G013.8885-00.4760,HII/YSO??,17:24.7,-17:06:27.3,0.612,2.143,3.99,25.17,18.4,13,10.3,22.5,6,-999,2.5,-999,3.90E+03,MIPS/IGA,,13.88858684,-0.476073983
54,2540,G014.0329-00.5155,YSO,17:50.6,-16:59:57.1,3.276,5.284,5.16,9.61,16.6,13.7,10.8,21.3,6.1,nz,2.5,-999,2.90E+03,MIPS/IGA,,14.03302459,-0.515631094
55,4874,G014.0612-00.5190,HII/YSO??,17:54.7,-16:58:33.2,0.401,-0.491,0.7,3.89,16.1,14.4,13.7,-999,-999,-999,-999.0,-999,-999,MSX,,14.06134791,-0.519073967
56,2502,G014.1742+00.0226,Diffuse HII region,16:08.7,-16:37:09.1,1.378,2.526,1.96,4.22,16.4,14,12.8,12.7,6.9,nsa?,1.6,-999,1.00E+03,MIPS/IGA,,14.17433831,0.02253745
57,2517,G014.2071-00.1105,Diffuse HII region,16:42.0,-16:39:12.9,0.866,1.599,1.23,2.88,15.3,13.7,12.9,38.5,4.9,nsa,3.8,-999,4.10E+03,MIPS/IGA,,14.20725041,-0.110618644
58,2571,G014.2166-00.6344,YSO,18:38.6,-16:53:36.8,1.378,2.296,1.79,3.08,14.7,11.7,9.5,20.3,6.2,nz,2.5,-999,925,MIPS/IGA,,14.21672572,-0.63415969
59,2562,G014.2428-00.5543,HII region??,18:24.1,-16:49:58.0,0.54,0.659,1.17,5.16,17.4,15,12.9,-999,-999,-999,-999.0,-999,-999,MSX,,14.24287703,-0.554424235
60,2578,G014.3313-00.6397,HII region,18:53.5,-16:47:42.7,2.901,3.658,4.15,31.39,18.2,15.2,12.8,22.5,6,n,2.5,-999,1.50E+04,MIPS/IGA,,14.3314257,-0.639835316
61,2586,G014.4335-00.6969,YSO,19:18.2,-16:43:56.1,7.164,13.984,19.34,31.08,15.6,11.5,8.4,20.4,6.2,nz,2.5,-999,6.50E+03,MIPS/IGA,,14.43352236,-0.696985451
62,2519,G014.4886+00.0219A,HII region,16:46.9,-16:20:34.2,1.109,2.187,2.11,3.54,-999,-999,-999,23.4,6,fsa,13.7,-999,6.00E+04,MIPS/IGA,,14.48991805,0.019936919
63,2528,G014.5982+00.0202,HII region?,16:59.8,-16:14:50.0,0.294,0.699,1.65,4.67,-999,-999,-999,27.2,5.7,fsa,13.7,-999,4.50E+04,MIPS/IGA,,14.59869314,0.019727497
64,2529,G014.6087+00.0127,YSO,17:02.7,-16:14:28.0,1.502,2.146,3.73,6.94,14.7,14,13.2,24.4,5.9,?,13.7,-999,1.10E+05,MIPS/IGA,,14.6095625,0.012457133
65,2581,G014.6703-00.4795,Diffuse HII region?,18:58.3,-16:25:14.8,0.135,0.537,1.01,3.39,16.7,15.5,14.5,38.2,5,?,3.7,-999,1.8e+03/2.1e+04,MIPS/IGA,,14.67040223,-0.479644433
66,2604,G014.9790-00.6649A,YSO,20:15.6,-16:14:10.1,6.857,9.31,11.24,54.24,13.4,11.7,10.6,19.9,6.3,nz,2.0,-999,3.40E+03,MSX,,14.97923302,-0.665079742
67,2604,G014.9790-00.6649B,HII region?,20:15.6,-16:14:10.3,6.857,9.31,11.24,54.24,13.4,11.7,10.6,19.9,6.3,nz,2.0,-999,3.40E+03,MSX,,14.97910856,-0.664964831
68,2611,G014.9958-00.6732,YSO,20:19.5,-16:13:29.8,24.753,36.801,41.45,98.85,12.7,9.8,7.3,19.9,6.3,nz,2.0,-999,1.20E+04,MSX,,14.99633106,-0.67331294
69,2627,G015.0136-00.7037,Diffuse HII region,20:28.2,-16:13:26.4,27.168,31.212,62.92,376.57,13.6,13.5,12,20.2,6.3,nz,2.0,-999,4.80E+04,MSX,,15.01370613,-0.703810419
